team_slug,team_name,planning_year,race_id,race_name,category,date_label,status,actual_points,rider_count,source_url,pcs_race_slug,checked_at_utc,notes
totalenergies,TotalEnergies,2026,2,Paris-Nice,2.UWT,08.03-15.03,completed,112.0,5,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,paris-nice,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,5,Ronde van Vlaanderen,1.UWT,05.04,completed,35.0,2,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,ronde-van-vlaanderen,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,7,In Flanders Fields,1.UWT,29.03,completed,70.0,2,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,gent-wevelgem,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,8,Paris-Roubaix,1.UWT,12.04,completed,95.0,4,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,paris-roubaix,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,9,Amstel Gold Race,1.UWT,19.04,completed,35.0,3,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,amstel-gold-race,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,10,La Flèche Wallonne,1.UWT,22.04,scheduled,,,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,la-fleche-wallonne,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,11,Liège-Bastogne-Liège,1.UWT,26.04,scheduled,,,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,liege-bastogne-liege,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,15,Tour Auvergne - Rhône-Alpes,2.UWT,07.06-14.06,scheduled,,,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,dauphine,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,17,Tour de France,2.UWT,04.07-26.07,scheduled,,,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,tour-de-france,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,28,Paris - Tours,1.Pro,11.10,scheduled,,,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,paris-tours,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,35,Eschborn-Frankfurt,1.UWT,01.05,scheduled,,,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,eschborn-frankfurt,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,40,Ronde Van Brugge - Tour of Bruges,1.UWT,25.03,completed,2.0,1,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,classic-brugge-de-panne,2026-04-21T03:38:53.685646+00:00,
totalenergies,TotalEnergies,2026,47,E3 Saxo Classic,1.UWT,27.03,completed,28.0,3,https://www.procyclingstats.com/team/totalenergies-2026/season/points-per-rider,e3-harelbeke,2026-04-21T03:38:53.685646+00:00,
